DocId,Document,Top_Topic
184,Riyadh_Saudi Arabia,65
185,Road Town_British Virgin Islands,5
186,Rome_Italy,13
187,Roseau_Dominica,13
188,"Saint-Denis, Réunion_Réunion",13
189,Saipan_Northern Mariana Islands,83
190,"San José, Costa Rica_Costa Rica",13
191,"San Juan, Puerto Rico_Puerto Rico",54
192,San Salvador_El Salvador,99
193,Sana'a_Yemen,46
194,Santiago_Chile,13
195,Santo Domingo_Dominican Republic,13
196,Sarajevo_Bosnia and Herzegovina,14
197,Seoul_South Korea,93
198,Singapore_Singapore,13
199,Skopje_Republic of Macedonia,13
200,Sofia_Bulgaria,13
201,Sri Jayawardenepura Kotte_Sri Lanka,0
202,"St. George's, Grenada_Grenada",13
203,St. Helier_Jersey,89
204,"St. John's, Antigua and Barbuda_Antigua and Barbuda",13
205,St. Peter Port_Guernsey,89
206,"St. Pierre, Saint-Pierre and Miquelon_Saint Pierre and Miquelon",5
207,"Stanley, Falkland Islands_Falkland Islands",5
208,Stepanakert_Nagorno-Karabakh Republic,22
209,Stockholm_Sweden,13
210,Sucre_Bolivia,13
211,Sukhumi_Abkhazia,21
212,Suva_Fiji,13
213,São Tomé_São Tomé and Príncipe,40
214,Taipei_Taiwan,47
215,Tallinn_Estonia,17
216,Tarawa Atoll_Kiribati,3
217,Tashkent_Uzbekistan,13
218,Tbilisi_Georgia (country),21
219,Tegucigalpa_Honduras,13
220,Tehran_Iran,13
221,"The Valley, Anguilla_Anguilla",13
222,Thimphu_Bhutan,45
223,Tirana_Albania,13
224,Tiraspol_Transnistria,66
225,Tokyo_Japan,20
226,Tripoli_Libya,12
227,Tskhinvali_South Ossetia,21
228,Tunis_Tunisia,39
229,Tórshavn_Faroe Islands,74
230,Ulaanbaatar_Mongolia,13
231,Vaduz_Liechtenstein,15
232,Valletta_Malta,13
233,Vatican City_Vatican City,87
234,"Victoria, Seychelles_Seychelles",91
235,Vienna_Austria,53
236,Vientiane_Laos,44
237,Vilnius_Lithuania,13
238,Warsaw_Poland,13
239,"Washington, D.C._United States",13
240,Wellington_New Zealand,60
241,"West Island, Cocos (Keeling) Islands_Cocos (Keeling) Islands",5
242,Willemstad_Curaçao,13
243,Windhoek_Namibia,1
244,Yamoussoukro_Ivory Coast,13
245,Yaoundé_Cameroon,48
246,Yaren district_Nauru,15
247,Yerevan_Armenia,13
248,Zagreb_Croatia,13
